type,subtype,label,sub_type,timestamp,Monitoring_type,findings,content,assessment_type,results,movement_type,destination,enforcement_type,outcome,activity_type,participants,thing_collected,reference,date,time,friendship_type,permission_type,start_date,end_date,report_type,submission_date,jurisdiction_type,authority_level,coordination_type,operational_role
Event,Monitoring,Monitoring,Event_Monitoring_253,4/10/40 08:38,water quality testing,Mako conducting authorized water quality sampling near Echo-7 marker for Oceanus Environmental Department,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_255,4/10/40 08:41,patrol activity,"Mako confirmed near Echo-7 marker, conducting authorized water quality sampling for Oceanus Environmental, promising to stay outside protected boundaries",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_266,4/10/40 09:13,surveillance,Vessel with transponder name 'Mako' detected near Nemo Reef protected boundary before signal loss,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_286,4/10/40 11:04,surveillance,Mako taking an unusual route with proximity to Nemo Reef's eastern boundary,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_358,5/10/40 10:30,surveillance,Positioned near V. Miesel equipment loading. Transfer of specialized drilling machinery with deep-sea modifications observed. Serial numbers documented. Potentially unauthorized marine survey equipment spotted.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_383,6/10/40 09:50,surveillance,"Planning to establish full monitoring protocol at Nemo Reef to document vessel activities, equipment, and personnel. Coordinating with Horizon and Sentinel for continuous coverage. Something expected to happen tomorrow.",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_410,6/10/40 11:46,surveillance,Construction crews arrived today for site preparation at Nemo Reef. Equipment installation scheduled tomorrow with full event execution next week. Expedited approval after previous denial suggests concerning influence.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_414,6/10/40 12:24,water quality testing,Preparing water sampling kits for deployment and planning to bring satellite tracking equipment to monitor vessels potentially violating protected zones,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_444,7/10/40 08:14,surveillance,Lookout provided photos of the fragile crates at harbor. Neptune's using unusual loading equipment. V. Miesel shipping lanes appear to overlap with new Mako corridors by 40%.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_484,7/10/40 10:33,surveillance,Reef Guardian sentinel repositioning to southern boundary. Neptune involvement noted as concerning. Will be tracking transfers and equipment movements.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_490,7/10/40 10:37,surveillance,Neptune's equipment claims check out - imaging devices and dive gear at eastern markers. Something still feels off about this operation.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_530,8/10/40 08:21,patrol activity,Harbor patrols confirm Mako's environmental sampling is legitimate. Increased vessel activity from V. Miesel Shipping near the reef documented.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_534,,patrol activity,Patrol schedules have been redirected/modified to work in favor of the message sender and recipient,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_595,9/10/40 08:12,surveillance,"Specialized underwater concrete forms discovered in fragile crates. Harbor master mentioned 'deep water construction' multiple times, suggesting permanent structures at Nemo Reef beyond equipment installation.",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_608,9/10/40 10:20,surveillance,Identified unauthorized deep-sea extraction equipment at Nemo Reef. Multiple executive personnel supervising from distance. Documenting evidence of container transfers between Neptune's team and unmarked civilian vessels.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_631,9/10/40 10:44,surveillance,increased vessel activity for Nemo Reef operations,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_661,10/10/40 09:32,surveillance,"Container vessels observed at northwest perimeter (24°15'N, 81°48'W) loading coral samples and seabed materials.",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_678,10/10/40 10:47,surveillance,Suspicious industrial equipment deliveries contradicting environmental closure claims observed around Nemo Reef,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_688,10/10/40 11:23,patrol activity,Planning increased night patrols at eastern boundary markers due to information about tourism vessels,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_690,10/10/40 11:24,surveillance,Suspicious extraction activities and industrial equipment deliveries contradicting environmental closure claims at Nemo Reef,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_704,10/10/40 05:00,surveillance,"Evidence of concrete structures, V. Miesel's expansion plans, and unusual movement in the harbor",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_709,10/10/40 21:00,patrol activity,Patrol of eastern quadrant scheduled. Night vision systems operational. Seeking vessel registration numbers for documentation.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_716,11/10/40 08:07,water quality testing,Two conservation vessels anchoring north of Nemo Reef using sonar equipment and taking water samples. Rare osprey spotted.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_722,,patrol activity,nothing found at Nemo Reef,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_752,11/10/40 09:20,surveillance,"EcoVigil questioning ROV delay, showing interest in Western quadrant while being redirected to northern quadrant",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_766,11/10/40 10:09,surveillance,Equipment labeled 'Project Poseidon: Resource Extraction Phase'. Conservation vessels conducting environmental surveys but restricted from certain areas.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_777,11/10/40 10:38,water quality testing,Completed extensive sampling near Nemo Reef. Preliminary findings show normal water quality parameters with no significant environmental hazards detected. Full analysis available within hours.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_797,12/10/40 08:59,surveillance,12 vessels in east quadrant with heavy drilling equipment. Registration numbers documented.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_803,12/10/40 09:24,surveillance,Davis Rodriguez maintaining position with Mako at Nemo Reef. Operating under permit #CR-7844 while maintaining tourism appearance. Security team expected to arrive at 0600.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_829,12/10/40 10:55,surveillance,Documented vessel registrations show 7 unregistered boats at Nemo Reef. Equipment includes seabed drills and extraction pumps - clear mining preparation.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_835,12/10/40 11:02,surveillance,evidence of unregistered vessels and mining equipment,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_856,12/10/40 12:59,surveillance,"Reef Guardian covering southeast quadrant for surveillance, requesting information about Port Authority vessel encounters for protest documentation",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_878,13/10/40 09:08,surveillance,Detected multiple transmission clusters near west reef edge. Recording frequency patterns of encrypted communications. Able to triangulate source vessels.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_900,13/10/40 12:22,surveillance,"Unauthorized activity at Nemo Reef during closure - encrypted communications, equipment transfers, and fuel contamination",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_909,13/10/40 12:34,water quality testing,"Need to gather additional evidence at Nemo Reef, including water sample collection and documenting vessel movements",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_911,13/10/40 12:36,surveillance,Spotted what appears to be a music video shoot with lighting rigs and camera equipment on west reef. Unable to confirm details due to distance.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_917,13/10/40 12:41,patrol activity,"Unauthorized activity at Nemo Reef during closure, requiring patrol of western boundary to document vessel movements and equipment transfers",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_922,13/10/40 07:00,surveillance,Conservation vessels moving equipment to the eastern side of Nemo Reef,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_929,13/10/40 13:20,surveillance,EcoVigil positioning required. Western quadrant to remain completely restricted for 48 hours. Unauthorized conservation vessels near restricted zones to be monitored.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_932,13/10/40 13:23,surveillance,Western quadrant restriction confirmed for 48 hours. EcoVigil redirected north as instructed. Unauthorized vessel monitoring in place.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_934,14/10/40 08:06,drone surveillance,Conservation vessels deploying drones with cameras over Nemo Reef,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_941,14/10/40 08:34,surveillance,"Conservation vessels being monitored. Delta-3 protocols active, tourism facade maintained.",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_942,14/10/40 08:34,surveillance,"Conservation vessels being monitored. Delta-3 protocols active, tourism facade maintained.",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_946,14/10/40 08:40,drone surveillance,"Port Authority blocking approach to Nemo Reef, requesting aerial drone documentation of activities during closure",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_957,14/10/40 09:04,miscellaneous monitoring,Operation proceeding as planned. Equipment transfer completed at south dock. Maintaining tourism facade successfully. Need authorization for additional fuel allocation due to extended perimeter monitoring.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_967,14/10/40 10:58,miscellaneous monitoring,Music video shoot occurring with potential environmental impact and permit violations. Green Guardians HQ confirming need to investigate and continue monitoring water contamination levels.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_971,14/10/40 11:32,drone surveillance,Port Authority blocking approach to Nemo Reef. Attempting to coordinate with Sentinel for documentation. Need aerial footage of equipment and activities at Nemo Reef.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_978,14/10/40 11:37,surveillance,"Video production underway at Nemo Reef with performers, lighting rigs, and filming equipment visible. No environmental assessment was conducted before this commercial activity.",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_995,14/10/40 12:51,miscellaneous monitoring,"Video evidence collected of environmental impacts at Nemo Reef, with ongoing monitoring for cleanup efforts as vessels depart",,,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_1,1/10/40 08:09,,,"Hey The Intern, it's The Lookout! Just spotted a pod of dolphins near the eastern point this morning. They were so playful! If you're free this weekend, the migratory birds are starting to arrive too. Let me know if you want to join for some birdwatching!",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_2,1/10/40 08:10,,,"Hey The Lookout, The Intern here! I'd absolutely love to join you for birdwatching this weekend! Those dolphins sound amazing. What time were you thinking? I'll bring my new binoculars that Mrs. Money helped me pick out.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_3,1/10/40 08:13,,,"Sam, it's Kelly! Let's meet at Sunrise Point at 7 AM for birdwatching. Bring your new binoculars and some water. I've heard there might be some rare shorebirds passing through this weekend. Can't wait!",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_5,1/10/40 08:16,,,"Mrs. Money, it's The Intern. Just checking in to see what tasks you need help with today. Also, I'll be birdwatching with The Lookout this weekend. Should I reschedule if you need me for anything?",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_6,1/10/40 08:19,,,"Boss, it's Mrs. Money. I've reviewed our operational funding for the upcoming projects. Need to discuss allocation priorities before our meeting with The Middleman next week. Are you available tomorrow afternoon?",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_7,1/10/40 08:21,,,"Mrs. Money, this is Boss. I'm available tomorrow at 3 PM to discuss funding allocations. Bring the updated projections for our tourism ventures. We need to ensure everything looks legitimate before meeting The Middleman next week.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_8,1/10/40 08:24,,,"Boss, Mrs. Money here. I'll bring the updated projections for tomorrow at 3PM. I've noted some interesting opportunities near Nemo Reef in our tourism portfolio. Should we discuss allocating additional resources there specifically?",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_9,1/10/40 08:26,,,"Middleman, this is Boss. I'd like to move our meeting forward to discuss some promising opportunities near Nemo Reef. My accountant has identified potential for expansion there. Can you meet earlier than planned?",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_10,1/10/40 08:29,,,"Boss, this is The Middleman. I can meet earlier as requested. Nemo Reef discussion is timely - I've noted increased interest in that area. Have some council updates that might benefit your expansion plans. When and where?",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_11,1/10/40 08:32,,,"Middleman, this is Boss. Let's meet tomorrow at 4PM at the usual spot by the marina. I'll bring the tourism portfolio with Nemo Reef projections. Curious about those council updates that might help our expansion.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_12,1/10/40 08:34,,,"Boss, this is Middleman. I'll be at the marina tomorrow at 4PM. Just reviewed some council documents - there's a potential loophole in Nemo Reef protection zones we can discuss. I'll bring the relevant paperwork.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_13,1/10/40 08:50,,,"Ahoy, this is the luxury yacht Serenity. I've heard you're familiar with these waters. My owner is looking for premium diving spots. Heard about Nemo Reef, but understand it's restricted. Any comparable alternatives you could recommend?",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_15,1/10/40 08:52,,,"Serenity, this is Mako. For premium diving comparable to Nemo Reef, try Azure Cove just 3 miles south. Less restricted, similar coral formations, and better visibility. We just documented excellent conditions there yesterday during our coastal survey.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_16,1/10/40 08:53,,,"Reef Guardian, this is Serenity. My owner is quite disappointed about Nemo Reef restrictions. Are there any special permits available for private vessels to access certain sections? We're willing to follow strict conservation guidelines.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_17,1/10/40 08:59,,,Harbor Master to Mako. Confirming your 07:00 departure today with Remora for Sailors Team's reconnaissance. Please remember to return before sunset and maintain distance from protected marine areas. Safe journey.,,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_20,1/10/40 09:02,,,"Davis, Mako here. Just completed documentation of our sites. Coral Point has excellent visibility but too exposed for filming. Dolphin Bay offers privacy but those currents will be challenging for equipment setup. Heading back to Himark as scheduled.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_21,1/10/40 09:49,,,"Mrs. Money, this is Boss. After speaking with The Middleman, I'm confident about our Nemo Reef opportunity. He mentioned a potential loophole in protection zones. Let's discuss this during our 3PM meeting along with funding allocations.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_22,1/10/40 09:52,,,"Middleman, it's Mrs. Money. I've prepared those financial projections we discussed. Particularly interested in your thoughts on that Nemo Reef loophole before my meeting with Boss tomorrow. Available to talk this evening?",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_24,1/10/40 09:55,,,"Serenity, Reef Guardian here. I understand your disappointment, but Nemo Reef is strictly protected without special access permits. However, we can recommend several equally beautiful non-protected areas nearby. We're observing increased tourism pressure lately, which is why enforcement remains strict.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_26,1/10/40 09:58,,,"Himark Harbor, this is luxury yacht Serenity. We're planning to anchor for the evening. Can you confirm availability for a 120-foot vessel requiring premium berth services? My owner would appreciate any local recommendations for exclusive dining options as well.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_28,1/10/40 09:59,,,Himark Harbor to Serenity. Premium berth confirmed for your 120-foot vessel. Recommend 'The Pearl' for exclusive dining - waterfront views and renowned seafood. Harbor staff will assist with your berthing upon arrival.,,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_30,1/10/40 10:43,,,"Attention Remora, this is Paackland Harbor. We've observed your vessel approaching Nemo Reef's protected inner boundary. Please maintain appropriate distance from restricted zones as per maritime conservation regulations. Acknowledge receipt.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_32,1/10/40 10:46,,,"Paackland Harbor, this is Remora. Acknowledging your warning. We'll maintain proper distance from Nemo Reef's protected areas. Currently surveying locations with Rodriguez for Sailor Shifts Team's upcoming video shoot. Will respect all conservation regulations.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_35,1/10/40 10:48,,,"This is Paackland Harbor to Oceanus City Council. Reporting increased tourism vessel activity near protected areas, specifically Nemo Reef. Have issued standard reminders about conservation regulations. Recommend additional signage or patrol consideration for upcoming tourism season.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_37,1/10/40 10:51,,,"Liam, this is Oceanus City Council. We've received reports from Paackland Harbor about increased tourism vessels near Nemo Reef. Please coordinate with harbor masters to enhance conservation patrols and consider temporary additional signage for protected areas.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_39,1/10/40 10:53,,,"Mrs. Money, this is The Middleman. I can meet this evening to discuss the Nemo Reef loophole before your meeting with Boss. Council just flagged increased vessel activity there - perfect timing for our plans. 7PM at the cafe?",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_40,1/10/40 10:55,,,"The Middleman, it's Mrs. Money. 7PM at the cafe works perfectly. I'll bring those financial projections on the Nemo Reef opportunity. I've also identified potential funding sources that won't raise flags with regulators.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_43,1/10/40 10:56,,,"Council, this is Liam Thorne. I've reviewed the Nemo Reef reports and am coordinating with harbor masters as requested. Will implement additional signage by tomorrow and increase patrols this weekend. Sending full action plan by end of day.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_45,1/10/40 10:58,,,"Paackland Harbor, this is Oceanus City Council. We've received your report and are taking action. Liam Thorne is coordinating additional signage installation tomorrow and increased patrols this weekend. Full action plan forthcoming. Thank you for your vigilance.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_48,1/10/40 11:01,,,"Reef Guardian, Paackland Harbor here. We're seeing increased tourism activity near Nemo Reef's protected zones. Please increase monitoring patrols in that area over the next 48 hours. Oceanus Council is adding signage tomorrow. Confirm when possible.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_50,1/10/40 11:02,,,"Himark Harbor, this is Marlin. Another day with half-empty nets while burning through fuel that costs double what it did last year. These new catch quotas are killing us local fishermen. Conservation sounds nice until families can't put food on the table.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_51,1/10/40 11:03,,,Himark Harbor to Marlin. We understand your concerns about the catch quotas. We've noted your feedback and will relay it to the Oceanus City Council at our next meeting. Is there anything else you need from harbor services today?,,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_53,1/10/40 11:06,,,"Oceanus City Council, this is Marlin. These new regulations are destroying our livelihood. Fuel costs doubled while catch limits halved. Five generations of my family fished these waters. Now we can barely break even. Please reconsider before there are no local fishermen left.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_54,1/10/40 11:09,,,"Marlin, this is Oceanus City Council. We hear your concerns about the fishing regulations. Let's schedule a community forum next week to discuss sustainable solutions that balance conservation needs with fishermen's livelihoods. Please confirm your availability.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_59,1/10/40 11:10,,,Mako to Remora. How's visibility in your sector? We've documented good conditions at Azure Cove and challenging currents at Dolphin Bay. Planning to rendezvous at Himark's south dock at 16:00 as scheduled. Over.,,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_62,1/10/40 11:40,,,"Reef Guardian, Green Guardians HQ here. We've noted increased tourism vessel activity near protected areas, especially around Nemo Reef. Please maintain extra vigilance over the next two weeks and report any regulation violations immediately.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_64,1/10/40 12:26,,,"Hello Sailor Shifts Team, this is Samantha Blake. I've prepared the initial event coordination outline for your music video shoot. Please confirm the Nemo Reef location so I can secure proper permits and arrange necessary equipment rentals.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_66,1/10/40 12:27,,,"Hi Samantha, Glitters Team here. We're confirming Nemo Reef as our primary location. We need permits for the northwest section specifically. Our reconnaissance showed optimal lighting conditions there. Please prioritize environmental compliance documentation.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_67,1/10/40 12:29,,,"Hello Oceanus City Council, this is Samantha Blake. I'm submitting a permit application for a music video shoot at Nemo Reef's northwest section in two weeks. Could you please advise on specific environmental compliance requirements for this protected area?",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_69,1/10/40 12:34,,,"Green Guardians, this is Sentinel. While patrolling western boundary of protected areas, I've observed increased tourism vessel activity near Nemo Reef. Recommend discussing inconsistent enforcement at upcoming community meeting. Sending detailed water quality report separately.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_72,1/10/40 12:37,,,"Horizon, Green Guardians HQ here. We're seeing increased tourism activity near protected areas, particularly Nemo Reef. Please coordinate with Sentinel on the western boundary and document any regulation violations. Extra patrols requested for the next two weeks.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_76,1/10/40 12:39,,,"Sentinel, this is Horizon. Received coordinates from Green Guardians about increased tourism near Nemo Reef. I'll monitor the eastern boundary while you take western. Let's document any violations and compare notes at 1800 hours.",,,,,,,,,,,,,,,,,,,,,,
Event,Communication,Communication,Event_Communication_79,1/10/40 12:40,,,"Horizon, this is Sentinel. Confirming western boundary patrol. Documented three tourism vessels approaching Nemo Reef's protected zones in the last hour. Will transmit coordinates and photographic evidence. See you at 1800 for debrief.",,,,,,,,,,,,,,,,,,,,,,
